INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 1 , '12-APR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 10 , '09-MAR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 17 , 10 , '10-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 10 , '10-MAR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 10 , '11-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 10 , '11-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 , 10 , '12-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 11 , '10-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 11 , '10-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 11 , '10-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 11 , '10-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 11 , '11-MAR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 11 , '11-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 , 11 , '11-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 11 , '11-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 12 , '13-MAR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 , 12 , '13-MAR-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 12 , '14-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 12 , '14-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 12 , '14-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 13 , '13-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 13 , '13-MAY-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 13 , '14-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 13 , '14-MAY-20' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 13 , '15-MAY-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 13 , '15-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 13 , '16-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 , 13 , '17-MAY-20' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 13 , '18-MAY-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 13 , '19-MAY-20' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 13 , '20-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 , 13 , '20-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 14 , '14-FEB-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 14 , '14-FEB-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 , 14 , '14-FEB-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 14 , '15-FEB-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 14 , '15-FEB-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 14 , '15-FEB-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 14 , '16-FEB-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 , 14 , '16-FEB-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 14 , '16-FEB-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 15 , '01-DEC-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 , 15 , '01-DEC-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 15 , '01-DEC-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 15 , '01-DEC-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 21 , 15 , '01-DEC-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 15 , '02-DEC-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 , 15 , '02-DEC-19' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 15 , '02-DEC-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 , 15 , '02-DEC-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 15 , '03-DEC-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 15 , '03-DEC-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 15 , '03-DEC-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 15 , '03-DEC-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 , 15 , '04-DEC-19' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 15 , '04-DEC-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 , 15 , '04-DEC-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 , 15 , '04-DEC-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 15 , '04-DEC-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 , 16 , '01-MAY-20' , 3, 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 16 , '01-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 16 , '05-MAY-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 16 , '05-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 16 , '08-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 22 , 16 , '08-MAY-20' , 1 , 40000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 17 , '02-NOV-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 17 , '02-NOV-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 , 17 , '03-NOV-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 3 , 17 , '03-NOV-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 18 , '01-JAN-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 , 18 , '01-JAN-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 , 18 , '01-JAN-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 18 , '02-JAN-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 8 , 18 , '02-JAN-19' , 1 , 120000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 , 18 , '02-JAN-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 , 19 , '06-FEB-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 , 19 , '07-FEB-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 , 19 , '08-FEB-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 , 19 , '09-FEB-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 , 19 , '10-FEB-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 , 20 , '11-MAR-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 , 20 , '05-MAR-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,20 , '10-MAR-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,20 , '11-MAR-20' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,21 , '17-MAY-20' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,21 , '17-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 ,21 , '18-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 ,21 , '18-MAY-20' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,22 , '17-MAY-20' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 19 ,22 , '17-MAY-20' , 1 , 1000000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,22 , '17-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,22 , '17-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,22 , '18-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,22 , '18-MAY-20' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 7 ,22 , '18-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,22 , '18-MAY-20' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 1 ,23 , '14-JUN-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 6 ,23 , '16-JUN-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,23 , '17-JUN-19' , 5, 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 18 ,23 , '19-JUN-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 16 ,23 , '19-JUN-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 4 ,24 , '15-JUN-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 9 ,24 , '16-JUN-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 ,24 , '17-JUN-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 13 ,25 , '18-JUL-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 15 ,25 , '19-JUL-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 5 ,26 , '18-JUL-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 21 ,26 , '18-JUL-19' , 1 , 100000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,26 , '19-JUL-19' , 1 , 70000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 24 ,26 , '19-JUL-19' , 1 , 30000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 23 ,27 , '30-JUL-19' , 1 , 50000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 2 ,27 , '30-JUL-19' , 1 , 90000 );
INSERT INTO BANGKE_MONAN(MAMON,MAHD,NGAY,SOLUONG,THANHTIEN) VALUES ( 10 ,27 , '01-AUG-19' , 1 , 70000 );
